CRTR_YR|ADMDST_CLSF_CD|HOHL_SPIDN|SPIDN|LFNR_SE_CD|HOHL_REL_CD|SD_CD|AAGE|NTNLTY_CD|FMNM_ACHM_CD|HS_SHAPE_CD|BRTH_YR|ENTCNY_YR
2023|43110000|HS00000214|SP00000214|1|2|1|59|410|003|G2|1959|
2023|26110000|HS00000215|SP00000215|1|1|1|53|410|004|G2|1970|
2023|11140000|HS00000216|SP00000216|1|1|1|43|410|004|G2|1953|
2023|11140000|HS00000217|SP00000217|1|2|1|80|410|002|G3|1959|
2023|28110000|HS00000218|SP00000218|1|2|2|88|410|003|G1|1955|2000
2023|46110000|HS00000219|SP00000219|1|1|2|48|410|002|G2|1941|
2023|11170000|HS00000220|SP00000220|1|1|1|71|410|004|G1|1964|
2023|28110000|HS00000221|SP00000221|1|2|2|93|410|004|G2|1949|
2023|42110000|HS00000222|SP00000222|1|1|1|20|410|001|G2|1977|
2023|11200000|HS00000223|SP00000223|1|2|2|47|410|002|G2|1933|
2023|43110000|HS00000224|SP00000224|1|1|1|75|156|001|G2|1973|
2023|26140000|HS00000225|SP00000225|1|1|2|57|156|003|G2|1953|
2023|44130000|HS00000226|SP00000226|1|3|1|79|410|002|G2|1929|
2023|41130000|HS00000227|SP00000227|1|1|1|55|410|003|G2|1977|
2023|41130000|HS00000228|SP00000228|1|2|1|24|410|004|G1|1996|
2023|11200000|HS00000229|SP00000229|1|1|1|52|410|004|G3|1986|
2023|28110000|HS00000230|SP00000230|1|1|2|50|410|001|G2|1985|
2023|45110000|HS00000231|SP00000231|1|4|2|83|410|001|G3|1999|
2023|11110000|HS00000232|SP00000232|1|1|1|31|410|004|G2|1963|
2023|43110000|HS00000233|SP00000233|1|1|1|31|156|001|G2|1983|1990
2023|41110000|HS00000234|SP00000234|1|4|2|30|410|002|G1|1996|
2023|43110000|HS00000235|SP00000235|1|3|2|62|410|004|G3|1993|
2023|42110000|HS00000236|SP00000236|1|2|1|94|410|002|G2|1983|
2023|28110000|HS00000237|SP00000237|1|1|2|66|410|001|G2|1976|1990
2023|26140000|HS00000238|SP00000238|1|1|2|81|410|004|G2|1930|
2023|41150000|HS00000239|SP00000239|1|2|2|83|410|003|G2|1951|
2023|11170000|HS00000240|SP00000240|1|1|2|65|410|002|G2|1950|
2023|41130000|HS00000241|SP00000241|1|1|1|65|410|003|G3|1952|
2023|11140000|HS00000242|SP00000242|1|3|1|38|410|003|G1|1943|
2023|42110000|HS00000243|SP00000243|1|1|2|92|410|003|G4|1980|
2023|41150000|HS00000244|SP00000244|1|1|1|79|410|004|G3|1996|
2023|11140000|HS00000245|SP00000245|1|1|1|85|410|004|G4|1965|
2023|43110000|HS00000246|SP00000246|1|1|2|93|410|002|G3|2003|
2023|28110000|HS00000247|SP00000247|1|2|1|46|410|004|G2|1987|
2023|44130000|HS00000248|SP00000248|1|4|2|30|410|004|G2|1947|
2023|11110000|HS00000249|SP00000249|1|1|1|84|410|001|G1|1966|
2023|11200000|HS00000250|SP00000250|1|1|1|55|410|002|G3|1952|
2023|41110000|HS00000251|SP00000251|1|2|1|91|410|003|G1|1965|
2023|11200000|HS00000252|SP00000252|1|1|1|72|410|004|G3|1963|
2023|26140000|HS00000253|SP00000253|1|1|2|39|410|003|G2|1981|
2023|42110000|HS00000254|SP00000254|1|4|2|46|410|003|G1|1987|
2023|11170000|HS00000255|SP00000255|1|2|2|65|410|002|G1|1984|
2023|42110000|HS00000256|SP00000256|1|1|2|49|410|001|G2|1944|
2023|11140000|HS00000257|SP00000257|1|5|1|41|410|004|G1|1930|
2023|11170000|HS00000258|SP00000258|1|1|1|35|410|003|G1|1997|
2023|41130000|HS00000259|SP00000259|1|4|2|68|410|002|G1|1963|
2023|44130000|HS00000260|SP00000260|1|2|1|22|410|004|G2|1968|
2023|11170000|HS00000261|SP00000261|1|2|2|27|410|001|G3|1961|
2023|26140000|HS00000262|SP00000262|1|4|2|23|410|002|G2|1986|
2023|46110000|HS00000263|SP00000263|1|2|2|75|410|004|G2|2003|
2023|47110000|HS00000264|SP00000264|1|1|2|22|410|002|G1|1988|
2023|41130000|HS00000265|SP00000265|1|1|2|51|410|004|G1|1990|
2023|28110000|HS00000266|SP00000266|2|2|2|29|410|004|G2|2000|
2023|26140000|HS00000267|SP00000267|1|2|2|64|410|001|G1|1977|
2023|41150000|HS00000268|SP00000268|1|1|1|22|410|002|G1|1952|
2023|41150000|HS00000269|SP00000269|1|3|1|21|410|004|G1|1931|
2023|26140000|HS00000270|SP00000270|1|2|2|50|410|002|G2|1954|
2023|11110000|HS00000271|SP00000271|1|1|1|72|410|001|G3|1990|
2023|11170000|HS00000272|SP00000272|1|1|2|28|410|001|G1|1976|
2023|47110000|HS00000273|SP00000273|1|1|1|57|410|001|G2|1981|
2023|28110000|HS00000274|SP00000274|1|1|2|80|410|001|G2|1988|
2023|41110000|HS00000275|SP00000275|1|1|2|66|410|002|G3|1929|
2023|28110000|HS00000276|SP00000276|1|1|2|76|410|002|G1|1954|
2023|44130000|HS00000277|SP00000277|1|1|2|43|410|004|G3|1967|
2023|11140000|HS00000278|SP00000278|1|1|1|90|410|003|G3|1971|
2023|11140000|HS00000279|SP00000279|1|2|1|30|410|001|G4|1980|
2023|26110000|HS00000280|SP00000280|1|1|1|65|410|001|G3|1972|
2023|41110000|HS00000281|SP00000281|1|5|1|52|410|001|G1|1956|
2023|42110000|HS00000282|SP00000282|1|4|2|22|410|002|G3|1934|
2023|41110000|HS00000283|SP00000283|1|2|2|90|410|003|G3|1966|
2023|28110000|HS00000284|SP00000284|1|5|1|72|156|001|G2|1990|
2023|46110000|HS00000285|SP00000285|1|4|1|37|410|002|G1|1932|
2023|11170000|HS00000286|SP00000286|1|1|2|23|410|002|G3|1980|
2023|41130000|HS00000287|SP00000287|1|3|2|70|410|001|G1|1997|
2023|41130000|HS00000288|SP00000288|1|1|2|60|410|001|G3|1963|
2023|41110000|HS00000289|SP00000289|1|2|2|23|410|001|G2|1944|
2023|44130000|HS00000290|SP00000290|1|1|1|93|410|001|G2|1984|
2023|26110000|HS00000291|SP00000291|1|1|1|73|410|004|G1|1983|
2023|47110000|HS00000292|SP00000292|1|1|1|54|410|004|G2|1982|
2023|26140000|HS00000293|SP00000293|1|5|1|37|840|003|G2|1943|
2023|41130000|HS00000294|SP00000294|1|1|1|40|410|004|G3|1932|
2023|41110000|HS00000295|SP00000295|1|1|1|53|410|004|G1|1940|
2023|45110000|HS00000296|SP00000296|1|1|2|24|410|004|G1|1987|
2023|28110000|HS00000297|SP00000297|1|1|1|47|410|001|G1|1940|
2023|26110000|HS00000298|SP00000298|1|3|2|36|410|004|G1|1980|
2023|11110000|HS00000299|SP00000299|1|3|2|28|410|002|G4|1938|
2023|27110000|HS00000300|SP00000300|1|1|2|29|410|003|G1|1929|
2023|45110000|HS00000301|SP00000301|1|1|2|45|410|004|G2|1950|
2023|11110000|HS00000302|SP00000302|1|1|2|48|410|002|G3|1932|
2023|46110000|HS00000303|SP00000303|1|1|1|46|410|002|G2|1993|
2023|41130000|HS00000304|SP00000304|1|3|1|71|410|001|G2|1954|
2023|11170000|HS00000305|SP00000305|1|3|2|59|410|001|G2|2000|
2023|26140000|HS00000306|SP00000306|1|1|2|34|410|001|G2|1955|
2023|41130000|HS00000307|SP00000307|1|2|1|92|410|002|G3|1978|
2023|26140000|HS00000308|SP00000308|1|1|1|74|410|004|G2|1931|
2023|11140000|HS00000309|SP00000309|1|2|1|55|410|002|G2|1966|
2023|42110000|HS00000310|SP00000310|1|2|1|23|410|003|G2|1946|
2023|42110000|HS00000311|SP00000311|1|2|2|88|410|001|G3|1981|2000
2023|11170000|HS00000312|SP00000312|1|2|1|75|410|003|G2|1998|
2023|26110000|HS00000313|SP00000313|1|4|2|54|410|004|G2|1948|
2023|26110000|HS00000314|SP00000314|1|1|2|32|410|002|G2|1987|
2023|42110000|HS00000315|SP00000315|1|1|2|28|410|002|G2|1949|
2023|43110000|HS00000316|SP00000316|1|1|1|41|410|004|G2|1969|
2023|43110000|HS00000317|SP00000317|1|2|1|37|410|003|G1|1931|
2023|46110000|HS00000318|SP00000318|1|2|1|35|410|002|G2|1977|
2023|44130000|HS00000319|SP00000319|1|2|2|50|410|001|G1|1973|
2023|26140000|HS00000320|SP00000320|1|3|2|23|840|004|G2|1948|
2023|11140000|HS00000321|SP00000321|1|1|1|44|410|003|G2|1945|
2023|41150000|HS00000322|SP00000322|1|2|1|85|410|001|G2|1994|
2023|46110000|HS00000323|SP00000323|1|3|2|84|410|003|G1|1948|
2023|47110000|HS00000324|SP00000324|1|1|2|20|410|004|G3|1967|
2023|11200000|HS00000325|SP00000325|1|1|2|70|410|004|G2|1929|
2023|26110000|HS00000326|SP00000326|1|1|2|94|410|001|G2|1956|2010
2023|11110000|HS00000327|SP00000327|1|1|2|63|410|002|G1|1945|
2023|11170000|HS00000328|SP00000328|1|3|1|49|410|004|G2|1978|
2023|41130000|HS00000329|SP00000329|1|4|1|56|410|004|G2|1982|
2023|41130000|HS00000330|SP00000330|1|2|2|35|410|003|G3|1945|
2023|27110000|HS00000331|SP00000331|1|1|1|49|410|002|G2|2002|
2023|26140000|HS00000332|SP00000332|1|2|2|90|410|004|G1|1960|
2023|45110000|HS00000333|SP00000333|1|3|2|65|410|003|G2|1931|
2023|28110000|HS00000334|SP00000334|1|1|1|52|410|003|G2|1929|
2023|44130000|HS00000335|SP00000335|1|3|1|29|410|004|G1|1950|
2023|47110000|HS00000336|SP00000336|1|1|1|87|410|002|G2|1966|
2023|26140000|HS00000337|SP00000337|1|1|2|32|410|003|G2|1943|
2023|11200000|HS00000338|SP00000338|1|1|2|74|410|001|G3|2002|
2023|47110000|HS00000339|SP00000339|1|1|2|42|410|003|G2|1944|
2023|41150000|HS00000340|SP00000340|1|4|2|40|410|003|G2|1989|
2023|26110000|HS00000341|SP00000341|1|1|2|32|410|004|G4|1948|2020
2023|41150000|HS00000342|SP00000342|1|1|1|48|410|002|G2|1977|2010
2023|41110000|HS00000343|SP00000343|1|1|1|70|410|004|G1|1947|
2023|46110000|HS00000344|SP00000344|1|1|2|51|410|003|G2|1958|1990
2023|26110000|HS00000345|SP00000345|1|1|2|21|410|001|G4|1934|
2023|47110000|HS00000346|SP00000346|1|1|2|39|410|001|G2|1944|
2023|46110000|HS00000347|SP00000347|1|2|1|32|410|001|G2|1935|
2023|11200000|HS00000348|SP00000348|1|1|1|50|410|002|G2|1992|
2023|11170000|HS00000349|SP00000349|1|3|1|87|410|003|G2|1975|
2023|41130000|HS00000350|SP00000350|1|1|1|92|410|004|G1|1971|
2023|11110000|HS00000351|SP00000351|1|3|2|94|410|004|G2|2001|
2023|26140000|HS00000352|SP00000352|1|3|1|28|410|003|G3|2002|
2023|28110000|HS00000353|SP00000353|1|1|1|56|410|002|G2|2001|
2023|47110000|HS00000354|SP00000354|1|1|2|23|410|003|G1|1946|
2023|47110000|HS00000355|SP00000355|2|4|2|57|410|002|G2|1970|
2023|11170000|HS00000356|SP00000356|1|1|1|63|410|001|G1|1947|
2023|46110000|HS00000357|SP00000357|1|2|2|78|410|003|G2|1941|
2023|11140000|HS00000358|SP00000358|1|1|2|45|410|004|G2|2001|
2023|43110000|HS00000359|SP00000359|1|1|2|22|410|001|G2|1940|
