CRTR_YR|ADMDST_CLSF_CD|HOHL_SPIDN|SD_CD|AAGE|HS_SHAPE_CD|HS_SE_CD|MBHS_CNT|LVQT_KIND_CD|DTHS_TYPE_CD|LVQT_SN|HH_FMTN_CD|HH_HS_TYPE_CD|MCLTR_HS_YN
2023|27110000|HS00000086|1|74|G3|1|4|1|1|LV00000086|6|01|N
2023|26110000|HS00000087|1|34|G1|1|6|5|2|LV00000087|1|01|N
2023|41150000|HS00000088|1|53|G1|4|2|4|1|LV00000088|1|03|N
2023|26140000|HS00000089|2|25|G2|1|1|2|2|LV00000089|5|04|N
2023|47110000|HS00000090|2|65|G2|1|3|2|2|LV00000090|4|05|N
2023|43110000|HS00000091|1|71|G2|4|2|1|1|LV00000091|2|03|N
2023|44130000|HS00000092|2|53|G4|2|2|2|2|LV00000092|1|01|N
2023|26110000|HS00000093|2|50|G2|1|2|3|9|LV00000093|5|04|N
2023|11110000|HS00000094|1|38|G2|4|5|1|2|LV00000094|4|02|N
2023|11110000|HS00000095|1|77|G3|4|3|2|1|LV00000095|4|01|N
2023|45110000|HS00000096|1|88|G2|3|6|2|1|LV00000096|2|04|N
2023|45110000|HS00000097|1|29|G2|1|1|2|2|LV00000097|6|04|N
2023|42110000|HS00000098|2|40|G3|3|6|2|2|LV00000098|1|01|N
2023|41150000|HS00000099|1|65|G2|4|3|1|3|LV00000099|5|04|N
2023|11200000|HS00000100|1|47|G1|4|4|2|2|LV00000100|5|03|N
2023|43110000|HS00000101|1|20|G1|3|5|3|2|LV00000101|5|04|N
2023|41110000|HS00000102|1|21|G3|4|3|2|2|LV00000102|4|04|N
2023|41150000|HS00000103|2|37|G3|4|1|2|2|LV00000103|2|03|N
2023|11110000|HS00000104|1|92|G2|1|2|2|1|LV00000104|3|02|N
2023|41110000|HS00000105|1|65|G2|3|6|3|2|LV00000105|3|04|N
2023|42110000|HS00000106|2|39|G2|3|1|1|1|LV00000106|6|01|N
2023|44130000|HS00000107|1|24|G1|4|6|2|2|LV00000107|5|03|N
2023|11170000|HS00000108|1|76|G3|3|5|2|2|LV00000108|3|04|N
2023|11110000|HS00000109|2|48|G2|3|4|1|3|LV00000109|5|02|N
2023|45110000|HS00000110|1|49|G3|3|2|4|1|LV00000110|6|01|Y
2023|26140000|HS00000111|1|62|G3|2|6|3|9|LV00000111|5|01|N
2023|41110000|HS00000112|1|37|G2|2|1|2|2|LV00000112|3|03|N
2023|41150000|HS00000113|1|74|G2|4|5|2|3|LV00000113|1|03|N
2023|41110000|HS00000114|1|43|G2|4|2|2|2|LV00000114|6|04|N
2023|47110000|HS00000115|1|72|G2|3|3|2|3|LV00000115|1|05|N
2023|45110000|HS00000116|2|58|G2|2|1|2|2|LV00000116|4|05|N
2023|27110000|HS00000117|1|31|G3|1|4|2|1|LV00000117|1|02|N
2023|11200000|HS00000118|1|66|G2|2|1|1|2|LV00000118|6|01|Y
2023|47110000|HS00000119|2|25|G2|2|1|2|9|LV00000119|1|04|N
2023|43110000|HS00000120|1|73|G2|4|2|2|2|LV00000120|5|01|N
2023|43110000|HS00000121|1|48|G2|3|3|2|3|LV00000121|5|04|N
2023|28110000|HS00000122|1|70|G2|2|6|2|3|LV00000122|5|02|N
2023|41110000|HS00000123|2|38|G2|4|5|2|2|LV00000123|4|02|N
2023|11200000|HS00000124|2|50|G2|2|3|2|3|LV00000124|4|01|N
2023|28110000|HS00000125|1|42|G2|4|4|2|2|LV00000125|4|01|N
2023|41130000|HS00000126|1|38|G2|3|5|5|1|LV00000126|5|01|N
2023|11170000|HS00000127|1|45|G1|2|3|2|2|LV00000127|1|03|N
2023|41150000|HS00000128|1|24|G3|4|5|1|3|LV00000128|6|02|N
2023|41150000|HS00000129|2|49|G2|3|4|2|2|LV00000129|5|02|N
2023|45110000|HS00000130|2|29|G3|4|5|2|1|LV00000130|6|01|N
2023|11110000|HS00000131|2|58|G1|1|6|3|2|LV00000131|1|01|N
2023|11200000|HS00000132|1|26|G2|2|3|2|3|LV00000132|2|04|N
2023|28110000|HS00000133|2|20|G2|2|1|3|2|LV00000133|2|05|N
2023|45110000|HS00000134|2|52|G2|3|4|2|2|LV00000134|3|04|N
2023|26110000|HS00000135|1|42|G4|4|2|2|2|LV00000135|5|05|N
2023|47110000|HS00000136|2|85|G1|1|1|2|2|LV00000136|5|04|N
2023|47110000|HS00000137|1|39|G1|1|1|2|1|LV00000137|5|01|N
2023|11140000|HS00000138|2|49|G1|3|4|2|3|LV00000138|3|04|N
2023|27110000|HS00000139|2|37|G2|2|6|2|1|LV00000139|1|02|N
2023|26110000|HS00000140|2|86|G3|3|3|2|2|LV00000140|5|04|N
2023|41110000|HS00000141|2|79|G1|1|4|2|3|LV00000141|1|04|N
2023|46110000|HS00000142|2|32|G3|3|2|2|2|LV00000142|2|05|Y
2023|27110000|HS00000143|1|38|G2|1|1|2|3|LV00000143|3|05|N
2023|42110000|HS00000144|2|33|G3|4|5|3|1|LV00000144|5|04|N
2023|11170000|HS00000145|1|31|G2|1|4|2|2|LV00000145|4|05|N
2023|41130000|HS00000146|2|38|G4|1|2|2|3|LV00000146|1|03|N
2023|26140000|HS00000147|2|83|G2|1|4|2|3|LV00000147|2|05|N
2023|46110000|HS00000148|2|54|G4|1|4|1|2|LV00000148|6|01|N
2023|44130000|HS00000149|1|48|G2|2|1|2|1|LV00000149|4|03|N
2023|11200000|HS00000150|1|34|G2|3|2|2|1|LV00000150|4|04|N
2023|41150000|HS00000151|2|33|G3|4|6|3|3|LV00000151|3|05|N
2023|26140000|HS00000152|2|61|G2|4|3|2|2|LV00000152|5|05|N
2023|28110000|HS00000153|2|76|G2|1|5|2|1|LV00000153|4|02|N
2023|28110000|HS00000154|2|61|G2|2|4|1|2|LV00000154|1|04|N
2023|44130000|HS00000155|1|69|G3|4|1|2|1|LV00000155|5|01|N
2023|26110000|HS00000156|2|39|G2|1|6|2|1|LV00000156|2|01|N
2023|11110000|HS00000157|1|90|G1|3|6|2|9|LV00000157|6|04|N
2023|11200000|HS00000158|2|81|G3|2|5|2|2|LV00000158|4|02|N
2023|45110000|HS00000159|2|85|G2|1|1|1|1|LV00000159|2|03|N
2023|26140000|HS00000160|2|70|G1|1|6|2|3|LV00000160|1|02|N
2023|11140000|HS00000161|2|72|G1|2|1|2|9|LV00000161|1|04|N
2023|27110000|HS00000162|2|25|G1|1|4|2|3|LV00000162|2|01|N
2023|45110000|HS00000163|2|32|G2|1|3|2|3|LV00000163|1|04|N
2023|45110000|HS00000164|2|29|G2|3|5|2|9|LV00000164|4|04|N
2023|47110000|HS00000165|2|56|G1|4|1|2|1|LV00000165|1|05|N
2023|42110000|HS00000166|1|64|G2|3|6|2|3|LV00000166|3|02|N
2023|44130000|HS00000167|1|28|G3|3|4|2|2|LV00000167|2|02|N
2023|44130000|HS00000168|2|76|G2|1|2|2|1|LV00000168|4|03|N
2023|11110000|HS00000169|1|61|G2|2|2|4|1|LV00000169|1|02|N
2023|28110000|HS00000170|1|64|G2|3|5|3|1|LV00000170|3|04|N
2023|41110000|HS00000171|2|88|G1|1|2|1|3|LV00000171|5|04|N
2023|28110000|HS00000172|1|63|G3|3|2|2|3|LV00000172|2|04|N
2023|45110000|HS00000173|1|20|G1|1|6|3|1|LV00000173|6|03|N
2023|47110000|HS00000174|1|77|G1|2|6|2|3|LV00000174|2|04|N
2023|41130000|HS00000175|2|85|G2|3|2|2|3|LV00000175|5|01|N
2023|11140000|HS00000176|2|26|G1|4|4|2|1|LV00000176|2|01|N
2023|27110000|HS00000177|1|60|G1|1|3|2|3|LV00000177|3|02|N
2023|11200000|HS00000178|2|55|G2|3|2|1|1|LV00000178|4|02|N
2023|41110000|HS00000179|1|31|G2|3|2|2|1|LV00000179|5|05|N
2023|11200000|HS00000180|2|40|G1|1|1|1|2|LV00000180|4|02|N
2023|11140000|HS00000181|1|84|G2|3|6|2|9|LV00000181|4|05|N
2023|11170000|HS00000182|1|49|G2|1|2|1|1|LV00000182|2|03|N
2023|41110000|HS00000183|2|60|G3|3|2|2|2|LV00000183|4|04|N
2023|11170000|HS00000184|2|78|G1|1|4|2|2|LV00000184|1|01|N
2023|11110000|HS00000185|2|53|G3|1|1|1|3|LV00000185|1|04|N
2023|26110000|HS00000186|2|86|G2|1|6|1|9|LV00000186|1|03|N
2023|41150000|HS00000187|2|57|G2|2|6|4|2|LV00000187|6|05|N
2023|41150000|HS00000188|1|93|G2|1|3|2|3|LV00000188|4|01|N
2023|27110000|HS00000189|1|31|G2|2|2|2|2|LV00000189|3|02|N
2023|42110000|HS00000190|2|86|G1|4|1|2|1|LV00000190|4|05|N
2023|11200000|HS00000191|2|28|G2|4|6|2|2|LV00000191|2|03|N
2023|43110000|HS00000192|2|80|G2|4|3|2|2|LV00000192|5|03|N
2023|11110000|HS00000193|2|69|G1|2|4|1|3|LV00000193|3|03|N
2023|11170000|HS00000194|2|61|G2|1|1|5|1|LV00000194|4|02|N
2023|46110000|HS00000195|1|86|G3|2|5|2|1|LV00000195|2|05|N
2023|28110000|HS00000196|2|68|G2|1|4|2|9|LV00000196|1|03|N
2023|41130000|HS00000197|2|72|G2|1|1|3|9|LV00000197|6|01|Y
2023|27110000|HS00000198|1|76|G4|2|1|2|2|LV00000198|4|02|N
2023|41150000|HS00000199|2|83|G2|3|6|2|3|LV00000199|4|05|N
2023|43110000|HS00000200|1|37|G2|4|1|2|9|LV00000200|4|03|N
2023|44130000|HS00000201|1|83|G3|3|2|2|1|LV00000201|6|04|N
2023|26110000|HS00000202|1|64|G2|2|1|2|2|LV00000202|1|01|N
2023|41150000|HS00000203|1|22|G2|3|1|3|1|LV00000203|6|01|N
2023|44130000|HS00000204|1|88|G3|4|5|1|3|LV00000204|3|02|N
2023|28110000|HS00000205|2|77|G1|3|5|2|1|LV00000205|4|03|N
2023|27110000|HS00000206|2|86|G1|4|2|2|3|LV00000206|6|04|N
2023|41150000|HS00000207|1|77|G2|4|2|1|1|LV00000207|5|01|N
2023|41130000|HS00000208|1|45|G3|3|2|5|2|LV00000208|3|05|N
2023|26110000|HS00000209|2|46|G2|4|3|2|3|LV00000209|6|04|N
2023|47110000|HS00000210|1|40|G2|2|5|1|1|LV00000210|1|02|N
2023|41130000|HS00000211|2|50|G2|2|4|2|9|LV00000211|1|03|N
2023|41130000|HS00000212|1|22|G2|1|3|3|1|LV00000212|2|03|N
2023|11200000|HS00000213|1|75|G2|1|1|2|2|LV00000213|2|04|N
2023|42110000|HS00000214|1|76|G3|3|1|2|3|LV00000214|5|01|N
2023|46110000|HS00000215|1|93|G2|4|2|2|1|LV00000215|3|03|N
2023|43110000|HS00000216|2|61|G2|1|2|2|2|LV00000216|6|03|N
2023|41110000|HS00000217|2|94|G2|3|3|2|2|LV00000217|4|04|N
2023|41150000|HS00000218|2|35|G3|1|6|2|2|LV00000218|4|02|N
2023|11200000|HS00000219|1|55|G2|4|3|3|2|LV00000219|5|02|N
2023|11140000|HS00000220|1|78|G1|3|2|3|2|LV00000220|3|05|N
2023|41150000|HS00000221|1|79|G2|2|4|4|1|LV00000221|3|05|N
2023|11200000|HS00000222|2|78|G2|2|1|1|1|LV00000222|1|05|N
2023|11140000|HS00000223|1|54|G2|4|5|3|9|LV00000223|6|05|N
2023|44130000|HS00000224|2|25|G2|2|1|2|2|LV00000224|2|01|N
2023|28110000|HS00000225|2|84|G1|1|3|2|1|LV00000225|4|04|N
2023|45110000|HS00000226|1|48|G1|3|6|4|1|LV00000226|5|04|N
2023|45110000|HS00000227|1|68|G2|3|3|3|3|LV00000227|3|02|N
2023|11170000|HS00000228|1|29|G1|3|5|3|2|LV00000228|1|03|N
2023|44130000|HS00000229|1|90|G2|2|2|1|1|LV00000229|5|05|N
2023|26140000|HS00000230|2|39|G1|2|6|2|3|LV00000230|2|01|N
2023|42110000|HS00000231|2|94|G2|1|3|4|9|LV00000231|6|05|N
2023|11110000|HS00000232|2|73|G4|4|2|5|3|LV00000232|3|02|N
2023|41110000|HS00000233|1|44|G2|1|1|2|2|LV00000233|3|05|N
2023|41150000|HS00000234|2|47|G2|2|2|2|2|LV00000234|5|03|N
2023|28110000|HS00000235|2|93|G2|1|4|2|1|LV00000235|3|01|N
2023|41130000|HS00000236|2|64|G2|1|1|1|2|LV00000236|5|01|N
2023|11110000|HS00000237|1|71|G1|1|2|2|2|LV00000237|5|05|N
2023|11110000|HS00000238|1|65|G2|2|3|4|1|LV00000238|6|04|N
2023|41150000|HS00000239|2|37|G2|4|5|2|2|LV00000239|3|02|N
2023|28110000|HS00000240|1|29|G2|1|4|2|2|LV00000240|1|04|N
2023|41130000|HS00000241|1|20|G1|4|1|2|3|LV00000241|2|03|N
2023|27110000|HS00000242|1|50|G2|3|1|2|1|LV00000242|1|01|N
2023|11110000|HS00000243|1|71|G1|4|1|2|3|LV00000243|6|04|N
2023|42110000|HS00000244|2|42|G2|3|2|2|2|LV00000244|2|01|N
2023|11170000|HS00000245|1|36|G2|4|2|3|2|LV00000245|2|03|N
2023|44130000|HS00000246|2|49|G2|3|1|2|9|LV00000246|4|01|N
2023|11110000|HS00000247|2|37|G2|4|3|4|1|LV00000247|2|02|N
2023|46110000|HS00000248|1|52|G1|1|4|1|3|LV00000248|6|05|N
2023|26110000|HS00000249|2|61|G2|4|5|4|3|LV00000249|6|03|N
2023|46110000|HS00000250|1|40|G2|1|6|2|9|LV00000250|3|04|N
2023|11110000|HS00000251|1|22|G3|1|5|2|2|LV00000251|4|02|N
2023|28110000|HS00000252|2|27|G2|3|6|1|1|LV00000252|3|01|N
2023|28110000|HS00000253|1|51|G4|2|6|2|1|LV00000253|3|04|N
2023|11170000|HS00000254|1|33|G2|1|6|2|3|LV00000254|3|02|Y
2023|41110000|HS00000255|1|79|G2|4|3|4|1|LV00000255|3|01|N
2023|11200000|HS00000256|2|32|G2|3|1|3|2|LV00000256|3|03|N
2023|28110000|HS00000257|1|22|G2|2|1|1|9|LV00000257|2|03|N
2023|27110000|HS00000258|1|66|G2|2|6|2|2|LV00000258|4|01|N
2023|11200000|HS00000259|1|66|G4|3|6|2|1|LV00000259|1|03|N
2023|44130000|HS00000260|2|70|G3|2|2|3|3|LV00000260|6|03|Y
2023|41110000|HS00000261|2|31|G2|3|5|3|1|LV00000261|6|05|N
2023|45110000|HS00000262|2|71|G2|1|3|2|2|LV00000262|2|01|N
2023|44130000|HS00000263|1|84|G2|2|1|1|1|LV00000263|1|03|N
2023|26110000|HS00000264|1|65|G2|1|4|1|2|LV00000264|3|04|N
2023|26110000|HS00000265|2|49|G2|2|1|2|1|LV00000265|1|03|N
2023|47110000|HS00000266|2|56|G2|2|1|1|3|LV00000266|3|02|N
2023|26140000|HS00000267|1|80|G1|3|3|2|2|LV00000267|5|05|N
2023|11140000|HS00000268|1|30|G3|4|1|3|2|LV00000268|2|02|N
2023|41130000|HS00000269|2|74|G1|3|3|2|9|LV00000269|6|05|N
2023|47110000|HS00000270|2|40|G2|4|5|5|3|LV00000270|1|05|N
2023|11200000|HS00000271|1|85|G1|2|4|3|2|LV00000271|5|04|N
2023|41150000|HS00000272|1|30|G2|2|1|2|9|LV00000272|4|04|N
2023|26140000|HS00000273|1|58|G1|3|2|1|1|LV00000273|2|03|Y
2023|27110000|HS00000274|1|50|G2|1|6|2|2|LV00000274|3|04|N
2023|28110000|HS00000275|2|56|G2|2|6|2|9|LV00000275|2|02|N
2023|11170000|HS00000276|2|48|G1|4|6|2|2|LV00000276|4|01|N
2023|27110000|HS00000277|1|22|G2|2|4|4|2|LV00000277|6|04|N
2023|26110000|HS00000278|2|84|G2|4|3|3|3|LV00000278|4|05|N
2023|44130000|HS00000279|2|60|G2|3|5|2|1|LV00000279|5|05|N
2023|11200000|HS00000280|2|65|G2|1|6|1|1|LV00000280|4|04|N
2023|45110000|HS00000281|2|59|G2|2|1|2|3|LV00000281|5|05|N
2023|11110000|HS00000282|2|59|G2|2|6|2|1|LV00000282|4|03|N
2023|27110000|HS00000283|2|65|G1|4|4|2|1|LV00000283|3|01|N
2023|26110000|HS00000284|2|51|G2|2|1|3|2|LV00000284|1|02|N
2023|28110000|HS00000285|2|29|G2|2|6|2|2|LV00000285|5|02|N
2023|44130000|HS00000286|1|22|G2|3|1|2|2|LV00000286|6|05|N
2023|47110000|HS00000287|1|60|G2|4|1|3|3|LV00000287|6|05|N
2023|43110000|HS00000288|2|33|G3|3|3|2|2|LV00000288|5|04|N
2023|41110000|HS00000289|1|54|G1|4|4|2|3|LV00000289|3|05|N
2023|41110000|HS00000290|1|65|G2|1|3|2|1|LV00000290|5|02|N
2023|47110000|HS00000291|2|64|G2|4|2|2|2|LV00000291|2|04|N
2023|47110000|HS00000292|2|32|G2|1|4|2|9|LV00000292|6|01|N
2023|43110000|HS00000293|1|69|G2|4|3|2|2|LV00000293|1|01|N
2023|11170000|HS00000294|1|90|G2|3|1|2|1|LV00000294|6|04|N
2023|26110000|HS00000295|2|47|G2|3|5|2|9|LV00000295|5|04|N
2023|26110000|HS00000296|1|28|G2|1|2|1|2|LV00000296|6|03|N
2023|11200000|HS00000297|1|57|G1|3|5|2|2|LV00000297|2|03|N
2023|47110000|HS00000298|1|66|G2|1|3|2|1|LV00000298|4|04|N
2023|11170000|HS00000299|2|49|G3|3|5|2|2|LV00000299|2|02|N
2023|45110000|HS00000300|1|64|G2|2|2|4|1|LV00000300|5|02|N
2023|44130000|HS00000301|1|77|G2|1|2|2|2|LV00000301|4|02|N
2023|41110000|HS00000302|1|63|G2|2|1|2|3|LV00000302|5|02|N
2023|26140000|HS00000303|1|79|G2|1|5|5|2|LV00000303|5|02|N
2023|26110000|HS00000304|2|30|G1|1|5|2|1|LV00000304|1|01|N
2023|42110000|HS00000305|2|41|G2|1|4|2|1|LV00000305|3|03|N
2023|42110000|HS00000306|1|61|G2|2|4|1|3|LV00000306|2|03|N
2023|41130000|HS00000307|2|39|G1|3|1|2|9|LV00000307|6|01|N
2023|41130000|HS00000308|2|94|G2|3|3|5|1|LV00000308|4|05|N
2023|45110000|HS00000309|1|70|G1|1|6|5|2|LV00000309|1|03|N
2023|43110000|HS00000310|2|50|G2|2|2|2|2|LV00000310|3|01|N
2023|43110000|HS00000311|1|78|G1|3|1|3|3|LV00000311|4|01|N
2023|26110000|HS00000312|1|93|G3|1|6|3|9|LV00000312|2|01|N
2023|11140000|HS00000313|2|20|G3|1|1|2|2|LV00000313|4|03|N
2023|28110000|HS00000314|2|61|G4|1|5|3|1|LV00000314|5|02|N
2023|26140000|HS00000315|1|52|G2|1|6|2|3|LV00000315|4|05|N
2023|26140000|HS00000316|2|76|G2|1|5|5|3|LV00000316|4|03|N
2023|41110000|HS00000317|2|43|G3|3|1|3|2|LV00000317|4|04|N
2023|46110000|HS00000318|1|44|G2|4|6|2|2|LV00000318|2|02|N
2023|44130000|HS00000319|2|77|G2|4|1|2|1|LV00000319|4|01|N
2023|42110000|HS00000320|2|86|G3|3|6|4|2|LV00000320|1|02|N
2023|43110000|HS00000321|1|30|G2|2|1|1|3|LV00000321|5|04|N
2023|28110000|HS00000322|1|66|G2|4|3|2|1|LV00000322|3|04|N
2023|41130000|HS00000323|1|78|G4|4|6|2|3|LV00000323|5|01|N
2023|28110000|HS00000324|2|32|G4|2|2|2|1|LV00000324|2|02|N
2023|44130000|HS00000325|1|69|G2|1|1|1|1|LV00000325|6|03|N
2023|47110000|HS00000326|1|93|G1|2|1|2|2|LV00000326|4|02|N
2023|28110000|HS00000327|1|83|G2|2|3|5|1|LV00000327|6|02|N
2023|43110000|HS00000328|1|34|G2|3|3|3|2|LV00000328|2|05|N
2023|11110000|HS00000329|2|94|G2|1|2|3|2|LV00000329|4|05|N
2023|27110000|HS00000330|2|46|G2|3|3|2|3|LV00000330|5|02|N
2023|45110000|HS00000331|1|55|G2|2|3|2|9|LV00000331|5|01|N
2023|42110000|HS00000332|2|41|G2|2|4|2|2|LV00000332|2|02|N
2023|41110000|HS00000333|2|72|G3|1|2|2|1|LV00000333|3|05|Y
2023|11200000|HS00000334|2|29|G3|3|2|3|3|LV00000334|2|05|N
2023|44130000|HS00000335|2|73|G2|1|6|2|1|LV00000335|4|04|N
2023|47110000|HS00000336|1|24|G2|4|5|4|1|LV00000336|3|04|N
2023|27110000|HS00000337|1|83|G2|3|5|4|3|LV00000337|1|02|N
2023|44130000|HS00000338|2|44|G2|4|3|2|1|LV00000338|2|03|N
2023|41150000|HS00000339|2|58|G1|3|6|5|2|LV00000339|3|05|N
2023|27110000|HS00000340|1|37|G2|4|3|3|1|LV00000340|4|02|N
2023|26140000|HS00000341|1|28|G2|1|5|1|3|LV00000341|6|03|N
