기준년월|광역시도코드|시군구코드|시군구명|업종코드|업종명|평균단가|거래건수|평균매출금액|전월대비변화율|전년동월대비변화율
202501|47|42110|성남시|GG0101|일식|20979|4753|2684158|0.2586|0.299
202501|47|26140|수원시|GG0201|중식|25986|3160|8248419|0.1034|0.0247
202501|46|46110|부산진구|LL0101|중식|6057|3379|1399895|0.1142|-0.0452
202501|44|44130|성남시|LL0101|한식|24888|3456|3319661|0.2967|0.1386
202501|47|11110|수원시|GG0201|일식|17099|2821|6695889|0.1433|0.3645
202501|44|44130|부산진구|GG0101|중식|25855|4244|777917|0.1359|0.2248
202501|41|11200|부산진구|GG0101|중식|10551|1125|7453503|0.1512|0.2274
202501|41|47110|부산진구|LL0101|카페|29618|3091|8328612|0.0144|0.3125
202501|47|45110|수원시|LL0101|한식|25477|2852|9292057|0.0527|0.1999
202501|11|28110|부산진구|GG0201|카페|27456|1391|9266304|-0.1475|0.2108
202501|26|26140|서초구|GG0101|카페|18214|3844|1063803|-0.0755|0.0418
202501|26|11140|성남시|LL0101|일식|17762|3538|471874|-0.0167|-0.2704
202501|11|41110|수원시|LL0101|카페|16060|2974|9167267|0.2016|0.2525
202501|47|11170|서초구|GG0201|일식|18580|2526|8597036|0.0759|0.3404
202501|41|46110|수원시|GG0201|한식|10195|676|7186568|0.1512|0.1576
202501|42|45110|성남시|FF0101|중식|10084|2948|3219126|-0.0441|-0.0142
202501|45|11110|성남시|GG0101|한식|20072|3788|6008879|0.2943|0.0837
202501|42|41110|서초구|LL0101|카페|13725|2629|8069202|-0.0766|0.2962
202501|44|26140|부산진구|LL0101|중식|28407|4967|9139548|0.0168|0.1245
202501|42|41150|부산진구|GG0201|카페|9550|3301|2139383|-0.1735|-0.2956
202501|11|44130|강남구|GG0101|일식|28061|4405|9545476|0.0555|-0.2205
202501|26|27110|부산진구|FF0101|한식|29941|1790|4757918|-0.1471|-0.0254
202501|47|11140|성남시|GG0201|카페|16056|2819|4754765|-0.1393|0.2121
202501|42|28110|수원시|GG0101|카페|21599|2749|669486|0.2334|0.3298
202501|11|45110|성남시|GG0101|일식|11968|3645|1899667|0.111|-0.0995
202501|27|42110|강남구|GG0101|중식|18085|3946|6414578|0.0918|0.2997
202501|45|41150|강남구|LL0101|카페|16228|4496|7696518|0.0141|0.1816
202501|43|41130|서초구|GG0101|카페|6945|936|680900|0.0598|0.1939
202501|11|26110|수원시|GG0201|한식|13886|4037|2801690|0.0764|-0.0721
202501|46|28110|수원시|FF0101|카페|27934|2872|4384026|0.1135|0.1439
202501|47|27110|수원시|GG0101|중식|16911|3016|8679928|0.0316|0.0824
202501|47|46110|수원시|LL0101|중식|7593|3526|6443587|-0.1554|-0.0848
202501|44|41150|강남구|FF0101|카페|8683|3021|6816698|0.2572|-0.0705
202501|45|28110|수원시|GG0101|카페|5003|4708|2741317|-0.1426|0.166
202501|47|41150|부산진구|GG0101|카페|12216|3439|4639106|-0.12|0.1646
202501|47|27110|서초구|FF0101|일식|17527|4323|6216783|-0.0675|0.2612
202501|45|28110|강남구|FF0101|한식|19517|3978|1663694|0.2088|0.3862
202501|44|41130|강남구|FF0101|일식|16370|1408|2990741|-0.1716|-0.0486
202501|11|11170|서초구|GG0201|중식|29022|2691|9829925|0.2464|-0.1008
202501|41|43110|수원시|GG0101|카페|17931|1348|1637161|0.1202|0.3531
202501|44|41110|수원시|FF0101|한식|23673|1818|1759254|0.2988|-0.0522
202501|47|42110|서초구|FF0101|카페|17275|2611|8207057|0.0958|0.1679
202501|26|26110|성남시|FF0101|일식|17336|2856|6726894|0.2162|-0.2908
202501|47|44130|강남구|GG0201|일식|21789|3779|1386333|0.2296|-0.2409
202501|44|47110|서초구|LL0101|카페|14940|4543|2782335|0.0899|-0.1779
202501|42|26110|수원시|FF0101|카페|26092|2557|5050243|0.0109|-0.1847
202501|27|26140|성남시|GG0201|카페|11706|2269|697638|-0.1045|-0.1215
202501|45|27110|서초구|FF0101|중식|14617|587|8076442|0.0801|0.3926
202501|42|11110|서초구|FF0101|카페|22253|3701|2720308|0.0582|0.3704
202501|44|41150|성남시|GG0201|한식|22015|777|5463598|0.0956|-0.086
202501|11|47110|수원시|GG0101|중식|14076|2930|8359026|-0.1339|0.147
202501|27|41150|강남구|GG0201|한식|18591|989|7514659|0.2696|-0.1385
202501|27|43110|부산진구|LL0101|카페|19762|4238|9623339|-0.0536|-0.2715
202501|47|46110|부산진구|LL0101|한식|16246|3034|1425829|0.0826|0.1924
202501|27|11200|수원시|GG0201|카페|15624|3395|5210573|-0.0235|0.2195
202501|26|46110|부산진구|LL0101|카페|7599|1954|8910018|0.1171|0.3704
202501|11|27110|서초구|GG0201|중식|20963|4275|407845|-0.0582|0.3244
202501|47|41130|부산진구|GG0201|일식|26954|2386|4271381|-0.1299|0.3939
202501|43|41150|수원시|FF0101|일식|18784|959|7819060|-0.168|-0.2059
202501|41|11200|서초구|FF0101|한식|20248|1762|7835258|0.1756|-0.1809
202501|45|11140|성남시|FF0101|한식|21365|3897|3867027|-0.0693|0.3098
202501|41|42110|성남시|FF0101|중식|14164|3075|3948935|0.0281|-0.063
202501|47|11170|수원시|GG0101|카페|20388|4299|7697840|-0.0585|-0.1887
202501|42|11200|서초구|GG0201|중식|11048|1872|4012774|-0.159|0.2563
202501|44|11140|강남구|GG0201|한식|17067|811|2016583|0.0974|0.0968
202501|44|26110|수원시|LL0101|중식|11116|863|6073355|0.1773|-0.2526
202501|11|46110|부산진구|GG0201|일식|7206|2039|3174722|-0.1313|0.3482
202501|11|46110|서초구|GG0101|일식|7420|3620|9366596|-0.1833|0.2544
202501|26|41110|성남시|LL0101|한식|24839|1662|5114238|-0.1324|0.0116
202501|41|41110|성남시|GG0201|카페|26415|4514|403239|0.2074|0.3917
202501|11|11200|부산진구|GG0101|카페|18357|3939|8392038|-0.1443|-0.161
202501|26|47110|성남시|FF0101|한식|22638|2304|8917844|0.0015|-0.2944
202501|43|26140|성남시|GG0201|한식|10776|3248|6122263|-0.1661|-0.1507
202501|47|46110|성남시|GG0101|한식|16719|2070|9535006|0.2464|0.2081
202501|42|11110|수원시|LL0101|일식|17287|307|1377243|-0.1036|0.0977
202501|42|26140|성남시|FF0101|중식|26773|4255|2157491|-0.1261|-0.2733
202501|27|27110|수원시|GG0201|일식|10152|2784|5059199|0.1722|0.2376
202501|46|43110|성남시|GG0201|한식|27384|2047|3624526|0.0485|-0.0572
202501|42|26110|수원시|FF0101|중식|12323|2858|313603|0.2744|-0.278
202501|43|41110|성남시|GG0201|카페|23289|4436|4537988|-0.0066|0.2776
202501|47|26140|부산진구|LL0101|중식|18118|3793|131808|-0.0524|0.1247
202501|44|44130|수원시|FF0101|카페|28510|909|2210853|-0.1143|-0.2911
202501|47|42110|수원시|LL0101|카페|6299|2113|7830493|0.1286|0.3933
202501|41|11140|수원시|GG0101|카페|18050|1130|1629379|-0.1431|-0.0757
202501|43|41110|부산진구|LL0101|중식|28026|3771|6136148|0.1049|0.0382
202501|44|41110|강남구|LL0101|한식|24923|1422|9052731|0.2094|-0.0802
202501|41|45110|성남시|LL0101|중식|26249|3047|880392|0.1069|-0.1691
202501|45|28110|강남구|GG0201|카페|26367|1708|2976826|0.0566|0.3437
202501|46|11170|수원시|LL0101|카페|5013|1902|2591272|0.2531|0.1498
202501|27|47110|부산진구|FF0101|중식|14957|2453|2910050|0.0127|-0.1558
202501|45|11170|수원시|GG0101|일식|10294|4283|6408179|-0.1228|-0.0516
202501|46|28110|성남시|FF0101|중식|27381|2282|5986069|0.0326|0.385
202501|42|11170|수원시|LL0101|카페|9699|1301|9077909|0.2368|0.3368
202501|27|27110|성남시|FF0101|중식|13217|4924|9542680|0.018|0.299
202501|43|11110|강남구|GG0101|일식|21895|2534|2813665|0.1262|-0.1745
202501|11|46110|부산진구|LL0101|한식|11376|3289|3579533|-0.1198|0.2633
202501|47|11110|강남구|GG0101|카페|12726|498|2475382|-0.1444|-0.1566
202501|47|26110|부산진구|GG0201|한식|28201|1193|3351177|0.0472|-0.0708
202501|47|26110|성남시|FF0101|일식|22899|3598|1940504|0.1958|0.201
202501|47|42110|성남시|FF0101|한식|8444|848|5261495|-0.1507|0.0191
202501|26|26140|서초구|GG0201|한식|21075|1250|3195432|0.0413|-0.178
202501|43|42110|서초구|LL0101|한식|10450|1260|7290410|0.0516|0.0026
202501|44|11200|강남구|GG0101|중식|9626|4026|2456385|0.0481|-0.2237
202501|45|26110|강남구|FF0101|한식|24473|2841|7986611|0.0028|0.0862
202501|26|11170|성남시|GG0201|한식|14314|3001|1954100|0.0747|0.0541
202501|44|11110|수원시|GG0101|중식|20327|4845|275865|0.0362|0.1619
202501|47|11140|서초구|GG0101|카페|21062|4182|4934071|-0.1701|-0.2771
202501|42|28110|성남시|FF0101|한식|12677|2510|218122|0.109|0.2098
202501|46|41150|수원시|GG0201|일식|23050|1167|9780222|0.2374|0.1906
202501|27|41110|수원시|FF0101|카페|21891|4559|2366090|0.0097|-0.2504
202501|47|44130|성남시|GG0101|한식|10601|3549|6173430|-0.1058|0.269
202501|47|45110|부산진구|GG0101|카페|26123|3889|1240781|0.0941|0.0026
202501|46|11140|성남시|GG0201|일식|23608|711|6795692|-0.1335|0.3327
202501|43|47110|성남시|LL0101|일식|18168|3447|8267117|0.0333|0.2421
202501|46|44130|서초구|GG0201|한식|17861|606|1367531|0.0272|-0.0652
202501|42|42110|수원시|FF0101|일식|11837|2287|7406447|-0.0892|0.3685
202501|27|43110|강남구|GG0201|중식|23925|3809|6780949|-0.0268|0.1514
202501|44|41130|성남시|GG0101|중식|12333|3089|7475244|0.1757|-0.1214
202501|45|11140|강남구|GG0201|중식|23078|3017|2334613|-0.0675|0.2328
202501|46|41150|서초구|FF0101|카페|5551|2145|7571738|-0.0021|-0.1636
202501|46|26110|강남구|GG0101|카페|20169|4851|6169772|-0.128|-0.0554
202501|43|11140|서초구|GG0101|중식|8673|301|4954811|-0.1326|0.364
202501|26|11170|부산진구|LL0101|한식|19722|2358|3965091|-0.1272|0.3112
202501|26|41130|성남시|GG0101|한식|25238|2241|1199920|0.1985|-0.2913
202501|47|27110|수원시|LL0101|중식|6077|4960|4584751|0.2117|0.3784
202501|42|44130|수원시|GG0201|한식|10153|525|4764497|0.2616|0.2037
202501|42|44130|서초구|FF0101|카페|8508|3049|8953727|-0.1529|0.0815
202501|26|47110|강남구|GG0101|중식|5418|1017|2700817|-0.0017|-0.2442
202501|45|41110|수원시|GG0201|카페|5514|4828|5866300|-0.0672|0.2195
202501|27|11200|강남구|GG0201|한식|20094|2391|330450|-0.1634|-0.0839
202501|43|11170|성남시|LL0101|중식|20776|2154|2281036|0.0084|0.1387
202501|43|47110|서초구|GG0201|중식|24789|1703|6167704|0.0769|-0.09
202501|43|41150|서초구|LL0101|중식|23423|650|1422151|0.0975|-0.1385
202501|43|11200|성남시|GG0101|일식|24822|4692|618519|0.1639|-0.0478
202501|44|11140|성남시|FF0101|중식|21054|2118|4981366|0.2865|-0.0805
202501|47|26140|서초구|GG0201|중식|27893|2358|4331527|0.1396|-0.1107
202501|44|46110|수원시|GG0201|일식|14920|4750|2339521|0.0053|-0.228
202501|44|43110|강남구|GG0201|한식|9788|772|6559269|-0.0496|-0.1745
202501|43|41110|강남구|LL0101|카페|22284|4280|6165580|0.0706|-0.0449
202501|41|11200|부산진구|GG0101|중식|19475|2111|4967504|-0.0065|0.3121
202501|27|42110|서초구|GG0101|일식|25837|4230|5214209|-0.1595|-0.1277
202501|27|41130|서초구|FF0101|중식|11937|314|6471325|0.1078|-0.1683
202501|42|46110|부산진구|FF0101|일식|23397|1375|8282004|0.0392|0.0713
202501|11|45110|수원시|GG0201|중식|25469|4639|9198124|0.0527|0.1758
202501|43|41110|수원시|GG0201|중식|19271|4500|4243508|-0.1012|0.1884
202501|42|11140|성남시|FF0101|카페|18114|464|3820123|0.1258|-0.0366
202501|47|11140|서초구|GG0201|카페|21655|3294|332682|0.2371|-0.2711
202501|43|11170|수원시|FF0101|한식|24623|799|5498439|0.1063|-0.0298
202501|41|26140|부산진구|GG0101|일식|24552|4867|7746248|-0.1919|0.0212
202501|45|26110|서초구|GG0101|일식|9300|4580|1080853|0.0067|-0.1779
202501|44|11110|서초구|GG0101|한식|22527|2513|1421685|-0.1492|0.3154
202501|11|42110|수원시|LL0101|일식|26061|463|4212882|0.1853|-0.1327
202501|26|11200|부산진구|GG0201|카페|21711|3253|4194998|-0.1618|-0.0041
202501|46|41150|서초구|FF0101|한식|6036|4358|7358896|0.0805|0.1498
202501|42|11170|부산진구|LL0101|중식|23501|4668|6419582|0.0552|0.1405
202501|41|41130|강남구|GG0201|일식|23715|1799|4564821|0.1306|0.3712
202501|11|43110|서초구|LL0101|일식|25815|4063|6177170|-0.1083|0.0391
202501|45|46110|부산진구|FF0101|일식|22126|4172|7367062|0.2986|-0.0898
202501|47|45110|수원시|GG0101|중식|28358|367|2772435|-0.0543|-0.0155
202501|42|45110|수원시|GG0201|중식|28083|1816|8634030|-0.1789|0.0996
202501|42|46110|부산진구|LL0101|일식|7701|1523|2112235|-0.0496|-0.0066
202501|41|11200|부산진구|GG0201|중식|9888|4702|6773525|0.134|-0.1343
202501|44|11140|성남시|GG0101|카페|15879|4599|8823029|0.061|-0.2991
202501|47|11140|서초구|LL0101|일식|15216|4655|530361|0.0728|0.2349
202501|47|28110|강남구|GG0201|한식|9630|2859|1833328|-0.0613|-0.0689
202501|47|28110|서초구|FF0101|한식|15156|3081|3358560|0.1545|-0.1474
202501|26|11110|수원시|GG0101|중식|27086|893|8166699|0.1612|0.1749
202501|44|11170|강남구|LL0101|일식|14471|200|6115795|-0.0053|0.2072
202501|27|41130|성남시|LL0101|중식|21005|832|8241780|0.155|0.0743
202501|47|42110|서초구|GG0101|카페|6889|581|7156825|0.219|0.3343
202501|43|11140|서초구|LL0101|한식|12050|1389|8431325|-0.0241|0.394
202501|11|41110|서초구|FF0101|카페|24476|4318|7792692|0.2374|0.0215
202501|43|28110|수원시|GG0101|중식|17715|3878|662997|0.0102|0.2778
202501|43|44130|강남구|FF0101|한식|8149|2965|4503012|0.0966|0.3029
202501|27|26140|부산진구|FF0101|중식|23771|1300|9342622|-0.152|-0.267
202501|47|45110|부산진구|GG0201|카페|28558|4242|5152213|0.1011|0.3615
202501|45|11170|부산진구|FF0101|일식|17854|3472|8609641|-0.1461|0.0789
202501|43|46110|강남구|LL0101|중식|23582|2149|171428|0.2658|-0.062
202501|27|27110|강남구|LL0101|카페|17877|1189|5173304|-0.0361|0.1307
202501|46|41110|성남시|GG0201|중식|16273|2699|2039428|0.0802|0.052
202501|11|46110|부산진구|GG0101|한식|12611|4762|2395850|-0.145|0.3649
202501|11|11170|성남시|LL0101|일식|8069|2173|1485512|0.0729|-0.1321
202501|27|28110|서초구|LL0101|카페|10555|1242|8732846|0.0521|0.1212
202501|41|28110|강남구|FF0101|카페|17699|2836|7476785|0.0025|-0.2145
202501|27|46110|수원시|FF0101|중식|27844|4528|3834477|-0.1729|-0.1903
202501|42|27110|서초구|FF0101|일식|10561|2311|9835214|-0.1764|-0.2456
202501|41|11110|강남구|FF0101|카페|12147|1656|285898|0.2226|0.0425
202501|42|46110|성남시|GG0101|일식|20564|3981|859171|0.2681|0.2166
202501|26|11170|수원시|GG0101|일식|24168|4072|6199893|-0.01|0.1779
202501|41|42110|서초구|LL0101|카페|25430|1975|3683602|0.2531|-0.2377
202501|44|46110|성남시|GG0201|카페|26713|3855|7293401|0.2663|0.2041
202501|41|47110|부산진구|GG0201|중식|18303|3741|8092452|-0.0694|-0.0773
202501|26|27110|서초구|GG0201|중식|20373|3525|6014240|-0.0615|0.0108
202501|11|26110|강남구|GG0201|카페|10892|4002|774268|-0.1186|0.2472
202501|44|11200|수원시|FF0101|중식|15899|110|5567906|-0.0196|0.1125
202501|41|41150|수원시|LL0101|일식|17295|2345|2617912|-0.0542|0.0234
202501|47|26140|수원시|LL0101|카페|25653|2403|3540119|-0.0372|0.2219
202501|11|27110|성남시|FF0101|한식|7822|4312|2170572|0.0481|0.0693
202501|47|43110|성남시|GG0201|카페|16334|2993|3555949|-0.1418|-0.1404
202501|27|44130|수원시|GG0201|한식|8053|2104|5960292|-0.1774|0.2317
202501|44|41150|서초구|GG0101|한식|12183|590|4985197|0.2153|0.0853
202501|27|11170|수원시|FF0101|일식|29681|4551|6745530|-0.1307|0.1402
202501|43|45110|강남구|GG0201|카페|6608|2413|4736467|-0.1192|-0.2118
202501|26|43110|수원시|GG0201|한식|11793|59|6966996|-0.175|0.0895
202501|43|47110|성남시|LL0101|일식|24068|1852|3147763|0.1517|0.0199
202501|11|27110|성남시|FF0101|카페|27263|2195|1884841|0.0555|-0.0418
202501|46|26110|서초구|FF0101|중식|8902|1835|3520530|0.2851|0.2746
202501|45|41110|서초구|GG0201|일식|18242|4213|3293574|0.2789|0.1905
202501|42|26140|성남시|FF0101|카페|25489|1114|4458713|-0.0667|0.0982
202501|46|27110|부산진구|GG0201|카페|7911|1779|4804867|-0.0287|0.3235
202501|26|46110|부산진구|FF0101|한식|27822|337|4668623|0.0602|0.3813
202501|44|45110|부산진구|GG0101|중식|24968|2510|4681251|-0.1992|0.0213
202501|44|41130|강남구|LL0101|카페|28997|1000|521758|0.2415|0.0826
202501|43|11110|성남시|GG0201|일식|17243|346|2351755|-0.1736|-0.019
202501|42|41130|수원시|LL0101|중식|6161|1931|4211976|0.1058|0.0025
202501|27|44130|수원시|FF0101|한식|18106|1184|4988045|-0.0852|0.392
202501|26|41130|강남구|LL0101|일식|25410|462|8262582|-0.1126|0.2692
202501|47|26140|성남시|GG0201|중식|19825|3976|866000|0.2084|-0.1106
202501|44|41110|성남시|GG0101|카페|22060|3640|1439503|0.1228|-0.1975
202501|44|42110|수원시|GG0101|일식|17138|43|7780207|0.2405|-0.0039
202501|45|26140|강남구|GG0201|카페|18048|1462|8525469|-0.1446|-0.0804
202501|45|41150|성남시|LL0101|일식|25991|779|2230648|-0.0103|-0.263
202501|27|42110|수원시|FF0101|중식|9378|688|1107171|0.1749|-0.2589
202501|11|47110|서초구|GG0201|일식|27037|1107|3437271|0.2255|-0.1776
202501|45|26140|서초구|GG0101|일식|20807|4686|6404876|0.0368|-0.0109
202501|43|27110|성남시|LL0101|중식|5513|3863|1168243|0.199|0.2125
202501|45|11110|성남시|FF0101|일식|16382|1455|5810871|0.1947|0.0989
202501|43|11140|강남구|FF0101|중식|9939|2833|2427277|0.234|-0.1068
202501|11|11170|서초구|FF0101|일식|6001|3650|8869347|0.2364|0.0586
202501|26|11140|강남구|GG0201|한식|14360|123|3423995|-0.1078|0.0539
202501|42|26110|성남시|FF0101|카페|15886|631|2844109|-0.0566|-0.2824
202501|42|42110|성남시|LL0101|중식|28972|3949|9764567|-0.059|0.0291
202501|27|42110|서초구|GG0201|카페|13704|4436|6993861|0.0621|-0.0606
202501|26|41150|성남시|GG0201|중식|29202|2848|4150875|-0.0205|0.1225
202501|44|11140|서초구|LL0101|중식|11600|2690|5815636|0.2198|0.1153
202501|26|26110|강남구|LL0101|일식|27067|4898|1398860|-0.0884|0.3396
202501|11|11170|서초구|GG0201|일식|29186|1659|8837845|0.2938|0.1242
202501|41|26140|수원시|LL0101|카페|5448|925|556330|0.1316|0.2152
202501|27|11170|수원시|LL0101|카페|21207|328|4487270|0.1345|-0.2774
202501|47|45110|성남시|LL0101|한식|19453|4953|4301713|-0.1818|-0.1565
202501|26|41110|부산진구|LL0101|중식|8686|273|4463280|0.0588|0.2492
202501|41|46110|서초구|GG0201|일식|17651|2463|8846448|0.1575|0.2913
202501|11|11170|수원시|FF0101|일식|18391|2763|6536221|-0.1855|-0.258
202501|47|46110|부산진구|GG0101|한식|13715|2284|6585538|-0.1903|0.29
202501|47|44130|부산진구|FF0101|한식|15747|1064|5563566|-0.1778|-0.0362
202501|27|27110|서초구|FF0101|중식|25643|1531|9519154|0.0394|0.3902
202501|45|47110|수원시|GG0101|일식|15929|3463|5680686|-0.1812|0.0995
202501|42|47110|수원시|FF0101|일식|10655|3279|5309303|-0.1773|-0.1586
202501|47|41110|서초구|GG0101|카페|5314|511|7612841|0.0076|-0.0493
202501|41|41150|강남구|GG0101|한식|25519|3208|9392963|0.0413|0.3296
202501|46|26110|강남구|FF0101|중식|16208|1195|1444254|-0.1133|-0.2664
202501|47|26110|성남시|GG0201|한식|11412|3333|531012|-0.0404|-0.0086
202501|43|47110|성남시|FF0101|중식|6650|3402|8064504|0.152|-0.0436
202501|43|11170|강남구|GG0101|일식|22991|863|8485391|-0.0406|0.278
202501|26|26110|부산진구|GG0101|일식|22495|3858|6883516|0.1558|-0.0397
202501|41|41110|강남구|LL0101|중식|23076|2327|9239903|0.1077|-0.2144
202501|44|41150|서초구|GG0101|중식|10491|1179|7819806|0.2974|-0.2928
202501|45|43110|서초구|GG0101|한식|7202|3425|9723960|0.0596|-0.0761
202501|47|28110|성남시|GG0201|일식|10962|4569|176047|0.2205|0.3777
202501|44|11200|수원시|GG0101|중식|24204|1033|8374506|-0.0923|0.1782
202501|47|11140|수원시|LL0101|일식|28837|2271|5757358|0.1778|0.2896
202501|46|26110|성남시|LL0101|일식|9987|3780|948484|0.1414|-0.1216
202501|27|41110|수원시|FF0101|카페|23385|569|5392894|0.2955|-0.2246
202501|11|41110|성남시|GG0201|한식|13670|842|3856256|-0.0296|-0.1123
202501|43|45110|수원시|GG0101|중식|26775|1180|1677804|-0.0679|0.1067
202501|45|47110|수원시|LL0101|중식|29934|1414|1986112|0.1651|0.2745
202501|42|26140|성남시|FF0101|중식|28660|428|9437500|-0.1436|0.1068
202501|42|11200|강남구|GG0201|한식|18110|199|1410901|-0.1815|0.2769
202501|45|45110|서초구|GG0101|한식|19617|4611|5757479|-0.127|-0.1782
202501|26|44130|강남구|GG0101|중식|12890|2506|9758634|0.2798|-0.1655
202501|41|41130|부산진구|GG0201|일식|14384|1677|9376964|-0.073|0.1798
202501|26|46110|서초구|FF0101|중식|28862|597|9844631|0.1523|-0.2306
202501|27|26140|성남시|FF0101|일식|26673|3997|5332572|0.2665|-0.2154
202501|43|45110|성남시|GG0201|카페|11055|4416|3506436|0.1135|-0.2341
202501|41|44130|수원시|GG0201|중식|26546|210|5190604|0.0809|-0.2049
202501|45|11170|부산진구|GG0201|일식|24569|2496|1120251|-0.1903|0.0139
202501|27|41150|성남시|GG0101|중식|11658|3628|1739460|0.1271|-0.1056
202501|47|11170|서초구|FF0101|일식|21512|181|6860719|-0.037|-0.0656
202501|26|47110|수원시|GG0101|중식|28204|3014|8545628|-0.0969|0.2344
202501|42|11170|강남구|LL0101|일식|29393|4420|9250262|0.2929|-0.1058
202501|45|26110|강남구|GG0101|카페|27795|203|5926510|0.2848|0.3717
202501|45|47110|서초구|LL0101|카페|8590|4785|4794563|0.245|-0.2481
202501|46|41110|부산진구|LL0101|일식|21443|859|5095569|0.1776|0.0045
202501|27|47110|수원시|LL0101|일식|16832|1491|5686366|-0.0668|0.2304
202501|43|26140|수원시|LL0101|일식|21624|4255|1857995|0.0647|0.2247
202501|26|46110|수원시|LL0101|한식|10855|677|7215564|0.0409|-0.0443
202501|11|11110|강남구|GG0201|일식|6215|435|7008641|0.1595|-0.0315
202501|45|11170|성남시|GG0101|한식|8738|2670|8920459|0.2178|-0.0362
202501|46|41150|서초구|GG0101|일식|16594|4888|8072995|0.0598|0.2398
